"substance","marker_residue","species","MRL","target_tissue","other_provisions","therapeutic_class","MRL_value","MRL_units","target_tissue_comb"
"Tulathromycin","(2R,3S,4R,5R,8R,10R,11R,12S, 13S,14R)-2-ethyl-3,4,10,13-tetra-hydroxy-3,5,8,10,12,14-hexamethyl-11-[[3,4,6-trideoxy-3-(dimethy-lamino)-ß-D-xylo-hexopyranosyl]oxy]-1-oxa-6-azacyclopent-decan-15-one expressed as tulathromycin equivalents","Bovine","200 μg/kg","Fat","Not for use in animals from which milk is produced for human consumption","Anti-infectious agents/Antibiotics",200,"μg/kg","fat"
"Tulathromycin","(2R,3S,4R,5R,8R,10R,11R,12S, 13S,14R)-2-ethyl-3,4,10,13-tetra-hydroxy-3,5,8,10,12,14-hexamethyl-11-[[3,4,6-trideoxy-3-(dimethy-lamino)-ß-D-xylo-hexopyranosyl]oxy]-1-oxa-6-azacyclopent-decan-15-one expressed as tulathromycin equivalents","Bovine","4 500  μg/kg","Liver","Not for use in animals from which milk is produced for human consumption","Anti-infectious agents/Antibiotics",4500,"μg/kg","liver"
"Tulathromycin","(2R,3S,4R,5R,8R,10R,11R,12S, 13S,14R)-2-ethyl-3,4,10,13-tetra-hydroxy-3,5,8,10,12,14-hexamethyl-11-[[3,4,6-trideoxy-3-(dimethy-lamino)-ß-D-xylo-hexopyranosyl]oxy]-1-oxa-6-azacyclopent-decan-15-one expressed as tulathromycin equivalents","Bovine","3 000  μg/kg","Kidney","Not for use in animals from which milk is produced for human consumption","Anti-infectious agents/Antibiotics",3000,"μg/kg","kidney"
"Tulathromycin","(2R,3S,4R,5R,8R,10R,11R,12S, 13S,14R)-2-ethyl-3,4,10,13-tetra-hydroxy-3,5,8,10,12,14-hexamethyl-11-[[3,4,6-trideoxy-3-(dimethy-lamino)-ß-D-xylo-hexopyranosyl]oxy]-1-oxa-6-azacyclopent-decan-15-one expressed as tulathromycin equivalents","Porcine","800 μg/kg","Muscle","Not for use in animals from which milk is produced for human consumption","Anti-infectious agents/Antibiotics",800,"μg/kg","muscle"
"Tulathromycin","(2R,3S,4R,5R,8R,10R,11R,12S, 13S,14R)-2-ethyl-3,4,10,13-tetra-hydroxy-3,5,8,10,12,14-hexamethyl-11-[[3,4,6-trideoxy-3-(dimethy-lamino)-ß-D-xylo-hexopyranosyl]oxy]-1-oxa-6-azacyclopent-decan-15-one expressed as tulathromycin equivalents","Porcine","300 μg/kg","Skin and fat in natural proportions","Not for use in animals from which milk is produced for human consumption","Anti-infectious agents/Antibiotics",300,"μg/kg","skin_fat"
"Tulathromycin","(2R,3S,4R,5R,8R,10R,11R,12S, 13S,14R)-2-ethyl-3,4,10,13-tetra-hydroxy-3,5,8,10,12,14-hexamethyl-11-[[3,4,6-trideoxy-3-(dimethy-lamino)-ß-D-xylo-hexopyranosyl]oxy]-1-oxa-6-azacyclopent-decan-15-one expressed as tulathromycin equivalents","Porcine","4 000  μg/kg","Liver","Not for use in animals from which milk is produced for human consumption","Anti-infectious agents/Antibiotics",4000,"μg/kg","liver"
"Tulathromycin","(2R,3S,4R,5R,8R,10R,11R,12S, 13S,14R)-2-ethyl-3,4,10,13-tetra-hydroxy-3,5,8,10,12,14-hexamethyl-11-[[3,4,6-trideoxy-3-(dimethy-lamino)-ß-D-xylo-hexopyranosyl]oxy]-1-oxa-6-azacyclopent-decan-15-one expressed as tulathromycin equivalents","Porcine","8 000  μg/kg","Kidney","Not for use in animals from which milk is produced for human consumption","Anti-infectious agents/Antibiotics",8000,"μg/kg","kidney"
"Turnera diffusa","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","For use in homeopathic veterinary medicinal products prepared according to homeopathic pharmacopoeias at concentrations corresponding to the mother tincture and dilutions thereof only.","NO ENTRY",NA,NA,NA
"Tylosin","Tylosin A","All food producing species","100 μg/kg","Muscle","For fin fish the muscle MRL relates to a ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’.","Anti-infectious agents/Antibiotics",100,"μg/kg","muscle"
"Tylosin","Tylosin A","All food producing species","100 μg/kg","Fat","For fin fish the muscle MRL relates to a ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’.","Anti-infectious agents/Antibiotics",100,"μg/kg","fat"
"Tylosin","Tylosin A","All food producing species","100 μg/kg","Liver","For fin fish the muscle MRL relates to a ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’.","Anti-infectious agents/Antibiotics",100,"μg/kg","liver"
"Tylosin","Tylosin A","All food producing species","100 μg/kg","Kidney","For fin fish the muscle MRL relates to a ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’.","Anti-infectious agents/Antibiotics",100,"μg/kg","kidney"
"Tylosin","Tylosin A","All food producing species","50 μg/kg","Milk","For fin fish the muscle MRL relates to a ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’.","Anti-infectious agents/Antibiotics",50,"μg/kg","milk"
"Tylosin","Tylosin A","All food producing species","200 μg/kg","Eggs","For fin fish the muscle MRL relates to a ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’.","Anti-infectious agents/Antibiotics",200,"μg/kg","eggs"
"Tylvalosin","Sum of tylvalosin and 3-O-acetyltylosin","Porcine","50 μg/kg","Muscle","NO ENTRY","Anti-infectious agents/Antibiotics",50,"μg/kg","muscle"
"Tylvalosin","Sum of tylvalosin and 3-O-acetyltylosin","Porcine","50 μg/kg","Skin and fat","NO ENTRY","Anti-infectious agents/Antibiotics",50,"μg/kg","skin_fat"
"Tylvalosin","Sum of tylvalosin and 3-O-acetyltylosin","Porcine","50 μg/kg","Liver","NO ENTRY","Anti-infectious agents/Antibiotics",50,"μg/kg","liver"
"Tylvalosin","Sum of tylvalosin and 3-O-acetyltylosin","Porcine","50 μg/kg","Kidney","NO ENTRY","Anti-infectious agents/Antibiotics",50,"μg/kg","kidney"
"Tylvalosin","Sum of tylvalosin and 3-O-acetyltylosin","Poultry","50 μg/kg","Skin and fat","NO ENTRY","Anti-infectious agents/Antibiotics",50,"μg/kg","skin_fat"
"Tylvalosin","Sum of tylvalosin and 3-O-acetyltylosin","Poultry","50 μg/kg","Liver","NO ENTRY","Anti-infectious agents/Antibiotics",50,"μg/kg","liver"
"Tylvalosin","Tylvalosin","Poultry","200 μg/kg","Eggs","NO ENTRY","Anti-infectious agents/Antibiotics",200,"μg/kg","eggs"
"Tyrosine","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Urea","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Urginea maritima","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","For use in homeopathic veterinary medicinal products prepared according to homeopathic pharmacopoeias, at concentrations in the products not exceeding one part per hundred only.
                           For oral use only.","NO ENTRY",NA,NA,NA
"Uridine and its 5’-mono-5’-di- and 5’-triphosphates","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Urticae herba","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Valine","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Valnemulin","Valnemulin","Porcine, rabbit","50 μg/kg","Muscle","NO ENTRY","Anti-infectious agents/Antibiotics",50,"μg/kg","muscle"
"Valnemulin","Valnemulin","Porcine, rabbit","500 μg/kg","Liver","NO ENTRY","Anti-infectious agents/Antibiotics",500,"μg/kg","liver"
"Valnemulin","Valnemulin","Porcine, rabbit","100 μg/kg","Kidney","NO ENTRY","Anti-infectious agents/Antibiotics",100,"μg/kg","kidney"
"Vedaprofen","Vedaprofen","Equidae","50 μg/kg","Muscle","NO ENTRY","Anti-inflammatory agents/Nonsteroidal anti-inflammatory agents",50,"μg/kg","muscle"
"Vedaprofen","Vedaprofen","Equidae","20 μg/kg","Fat","NO ENTRY","Anti-inflammatory agents/Nonsteroidal anti-inflammatory agents",20,"μg/kg","fat"
"Vedaprofen","Vedaprofen","Equidae","100 μg/kg","Liver","NO ENTRY","Anti-inflammatory agents/Nonsteroidal anti-inflammatory agents",100,"μg/kg","liver"
"Vedaprofen","Vedaprofen","Equidae","1 000  μg/kg","Kidney","NO ENTRY","Anti-inflammatory agents/Nonsteroidal anti-inflammatory agents",1000,"μg/kg","kidney"
"Vetrabutine hydrochloride","NOT APPLICABLE","Porcine","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Vincamine","NOT APPLICABLE","Bovine","No MRL required","NOT APPLICABLE","For use in newborn animals only.","NO ENTRY",NA,NA,NA
"Virginiamycin","Virginiamycin factor S1","Poultry","10 μg/kg","Muscle","Not for use in animals from which eggs are produced for human consumption","Anti-infectious agents/Antibiotics",10,"μg/kg","muscle"
"Virginiamycin","Virginiamycin factor S1","Poultry","30 μg/kg","Skin and fat","Not for use in animals from which eggs are produced for human consumption","Anti-infectious agents/Antibiotics",30,"μg/kg","skin_fat"
"Virginiamycin","Virginiamycin factor S1","Poultry","10 μg/kg","Liver","Not for use in animals from which eggs are produced for human consumption","Anti-infectious agents/Antibiotics",10,"μg/kg","liver"
"Virginiamycin","Virginiamycin factor S1","Poultry","60 μg/kg","Kidney","Not for use in animals from which eggs are produced for human consumption","Anti-infectious agents/Antibiotics",60,"μg/kg","kidney"
"Virola sebifera","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","For use in homeopathic veterinary medicinal products prepared according to homeopathic pharmacopoeias, at concentrations in the products not exceeding one part per thousand only.","NO ENTRY",NA,NA,NA
"Viscum album","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","For use in homeopathic veterinary medicinal products prepared according to homeopathic pharmacopoeias at concentrations corresponding to the mother tincture and dilutions thereof only.","NO ENTRY",NA,NA,NA
"Vitamin A","NOT APPLICABLE","All food-producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Vitamin B1","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Vitamin B2","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Vitamin B3","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Vitamin B5","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Vitamin B6","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Vitamin B12","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Vitamin D","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Vitamin E","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Wool alcohols","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","For topical use only.","NO ENTRY",NA,NA,NA
"Xylazine hydrochloride","NOT APPLICABLE","Bovine, Equidae","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Zinc acetate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Zinc aspartate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Zinc chloride","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Zinc gluconate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Zinc oleate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Zinc oxide","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Zinc stearate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
